<X>, <Y>, <dY>
2.012822030000000e-03, 5.268457670000000e+01, 6.452015410000000e-01
2.058145220000000e-03, 4.985571540000000e+01, 6.213267870000000e-01
2.103468220000000e-03, 4.582135140000000e+01, 5.836987370000000e-01
2.148791400000000e-03, 4.343834300000000e+01, 5.603401430000000e-01
2.194114590000000e-03, 3.983579000000000e+01, 5.341513480000000e-01
2.239437770000000e-03, 3.598058950000000e+01, 5.077254460000000e-01
2.284760770000000e-03, 3.268640260000000e+01, 4.853717800000000e-01
2.330083960000000e-03, 3.132031120000000e+01, 4.699093630000000e-01
2.375407140000000e-03, 2.961611870000000e+01, 4.548794950000000e-01
2.420730140000000e-03, 2.775017230000000e+01, 4.391151330000000e-01
2.466053330000000e-03, 2.641784420000000e+01, 4.281592020000000e-01
2.511376520000000e-03, 2.480488140000000e+01, 4.144606420000000e-01
2.556699700000000e-03, 2.308602710000000e+01, 4.004639750000000e-01
2.602022700000000e-03, 2.167495600000000e+01, 3.880145810000000e-01
2.662453610000000e-03, 2.005738760000000e+01, 2.890466590000000e-01
2.737992070000000e-03, 1.789386410000000e+01, 2.749484690000000e-01
2.813530710000000e-03, 1.634288270000000e+01, 2.708055110000000e-01
2.889069170000000e-03, 1.589125440000000e+01, 2.695324550000000e-01
2.964607810000000e-03, 1.419838930000000e+01, 2.608267350000000e-01
3.040146270000000e-03, 1.254932650000000e+01, 2.517454690000000e-01
3.115684910000000e-03, 1.193459760000000e+01, 2.472631480000000e-01
3.191223370000000e-03, 1.076185720000000e+01, 2.396670640000000e-01
3.266762200000000e-03, 9.763801200000000e+00, 2.339697860000000e-01
3.342300650000000e-03, 9.022520450000000e+00, 2.255942900000000e-01
3.417839110000000e-03, 8.242426399999999e+00, 2.129331250000000e-01
3.493377570000001e-03, 7.383492190000000e+00, 2.027450430000000e-01
3.568916400000000e-03, 7.136639780000000e+00, 1.980007520000000e-01
3.644454850000000e-03, 6.677791690000000e+00, 1.919058290000000e-01
3.719993310000000e-03, 6.253649430000000e+00, 1.873094610000000e-01
3.795531760000000e-03, 5.615305900000000e+00, 1.815831690000000e-01
3.871070590000001e-03, 5.284991170000000e+00, 1.773572530000000e-01
3.961716590000000e-03, 5.025400030000000e+00, 1.470286640000000e-01
4.067470880000000e-03, 4.420162400000000e+00, 1.415387150000000e-01
4.173224790000000e-03, 4.146550320000000e+00, 1.379229480000000e-01
4.278978710000000e-03, 3.731351000000000e+00, 1.332121000000000e-01
4.384732620000001e-03, 3.458293540000000e+00, 1.292015270000000e-01
4.490486530000000e-03, 3.065394500000000e+00, 1.253926570000000e-01
4.596240450000000e-03, 2.921545540000000e+00, 1.222548140000000e-01
4.701994730000001e-03, 2.488735160000000e+00, 1.183553410000000e-01
4.807748650000001e-03, 2.350622180000000e+00, 1.160243530000000e-01
4.913502560000001e-03, 2.025505070000000e+00, 1.130252640000000e-01
5.019256470000000e-03, 1.921058450000000e+00, 1.127353500000000e-01
5.125010390000000e-03, 1.807148810000000e+00, 1.135850900000000e-01
5.230764300000000e-03, 1.709626690000000e+00, 1.131807750000000e-01
5.351626130000000e-03, 1.532375960000000e+00, 9.894469530000000e-02
5.487595500000000e-03, 1.339837720000000e+00, 9.747898960000000e-02
5.623564870000000e-03, 1.239536260000000e+00, 9.435530970000000e-02
5.759534240000000e-03, 1.097791130000000e+00, 9.090636959999999e-02
5.895503610000000e-03, 9.120062590000000e-01, 8.868759620000000e-02
6.031472980000001e-03, 8.404264250000000e-01, 8.720701710000001e-02
6.167442350000000e-03, 9.015401530000000e-01, 8.576478379999999e-02
6.303411720000001e-03, 7.733083230000000e-01, 8.397859530000000e-02
6.439381090000001e-03, 7.044216530000000e-01, 8.245510809999999e-02
6.590458750000000e-03, 6.937707120000000e-01, 7.348540789999999e-02
6.756643210000001e-03, 7.190307379999999e-01, 7.247554310000000e-02
6.922828410000000e-03, 6.499130240000000e-01, 7.139063950000001e-02
7.089012860000000e-03, 6.463781810000000e-01, 7.046889310000000e-02
