<X>, <Y>, <dY>
1.580871460000000e-03, 7.352310940000000e+01, 8.625566960000000e-01
1.595913250000000e-03, 6.853926090000000e+01, 8.333664540000000e-01
1.610955040000000e-03, 6.427323149999999e+01, 8.103147150000000e-01
1.625996830000000e-03, 5.930781560000000e+01, 7.812260990000000e-01
1.641038620000000e-03, 5.592384720000000e+01, 7.595191000000000e-01
1.656080600000000e-03, 5.210501860000000e+01, 7.383878230000001e-01
1.671122390000000e-03, 4.930338290000000e+01, 7.162740830000000e-01
1.686164180000000e-03, 4.883039090000000e+01, 7.103958730000000e-01
1.701205970000000e-03, 4.594096370000000e+01, 6.902683380000000e-01
1.716247760000000e-03, 4.427561190000000e+01, 6.783436540000000e-01
1.731289550000000e-03, 4.294103620000000e+01, 6.645582320000000e-01
1.746331340000000e-03, 4.265452960000000e+01, 6.592601540000000e-01
1.761373130000000e-03, 4.269857410000000e+01, 6.534923910000000e-01
1.776414920000000e-03, 4.318560410000000e+01, 6.522783040000000e-01
1.791456710000000e-03, 4.363545230000000e+01, 6.492522950000000e-01
1.806498510000000e-03, 4.493290330000000e+01, 6.501120330000000e-01
1.821540300000000e-03, 4.536937330000000e+01, 6.478397250000000e-01
1.836582090000000e-03, 4.483400730000000e+01, 6.393235920000000e-01
1.851623880000000e-03, 4.722402950000000e+01, 6.493625040000000e-01
1.866665670000000e-03, 4.957700350000000e+01, 6.553505660000000e-01
1.881707460000000e-03, 5.197950360000000e+01, 6.686324480000000e-01
1.896749250000000e-03, 5.175453570000000e+01, 6.726023550000000e-01
1.911791040000000e-03, 5.326716230000000e+01, 6.841307880000000e-01
1.926832830000000e-03, 5.317436980000000e+01, 6.817149520000000e-01
1.956916410000000e-03, 5.609363940000000e+01, 4.009047260000000e-01
2.002041970000000e-03, 5.766052120000000e+01, 4.033728590000000e-01
2.047167350000000e-03, 5.790262350000000e+01, 4.000701930000000e-01
2.092292720000000e-03, 5.690341190000000e+01, 3.831770670000000e-01
2.137418090000000e-03, 5.392584480000000e+01, 3.653291510000000e-01
2.182543460000000e-03, 5.019747670000000e+01, 3.489808830000000e-01
2.227668840000000e-03, 4.584976190000000e+01, 3.306897490000000e-01
2.272794210000000e-03, 4.143518960000000e+01, 3.128586890000000e-01
2.317919770000000e-03, 3.719522730000000e+01, 2.950063610000000e-01
2.363045140000000e-03, 3.268201000000000e+01, 2.766490720000000e-01
2.408170510000000e-03, 2.899021910000000e+01, 2.604384510000000e-01
2.453295890000000e-03, 2.741248700000000e+01, 2.518601660000000e-01
2.498421260000000e-03, 2.542085780000000e+01, 2.407327620000000e-01
2.543546630000000e-03, 2.455442620000000e+01, 2.345400950000000e-01
2.588672000000000e-03, 2.395090040000000e+01, 2.288346140000000e-01
2.648839350000000e-03, 2.345126460000000e+01, 1.728365880000000e-01
2.724048310000000e-03, 2.350859640000000e+01, 1.691181500000000e-01
2.799257260000000e-03, 2.319949000000000e+01, 1.689844260000000e-01
2.874466220000000e-03, 2.186966510000000e+01, 1.660516340000000e-01
2.949675170000000e-03, 1.983431280000000e+01, 1.598843530000000e-01
3.024884310000000e-03, 1.719420090000000e+01, 1.512009090000000e-01
3.100093270000000e-03, 1.458454380000000e+01, 1.418147420000000e-01
3.175302220000000e-03, 1.215261540000000e+01, 1.327792570000000e-01
3.250511360000000e-03, 1.032292630000000e+01, 1.249488690000000e-01
3.325720130000000e-03, 9.121676250000000e+00, 1.187892630000000e-01
