<X>, <Y>, <dY>
1.227221080000000e-03, 1.169712830000000e+01, 1.359436510000000e+00
1.242328810000000e-03, 1.237486650000000e+01, 1.340868120000000e+00
1.257436440000000e-03, 1.069948200000000e+01, 1.293082480000000e+00
1.272544170000000e-03, 1.210298540000000e+01, 1.284769770000000e+00
1.287651900000000e-03, 1.393962860000000e+01, 1.278516170000000e+00
1.302759630000000e-03, 1.054074860000000e+01, 1.220525380000000e+00
1.317867360000000e-03, 1.086385350000000e+01, 1.210925580000000e+00
1.332974990000000e-03, 1.208649440000000e+01, 1.193001150000000e+00
1.348082720000000e-03, 1.190379710000000e+01, 1.167640090000000e+00
1.363190450000000e-03, 1.087620160000000e+01, 1.134758470000000e+00
1.378298180000000e-03, 8.804672240000000e+00, 1.096104150000000e+00
1.393405910000000e-03, 1.083782960000000e+01, 1.101089000000000e+00
1.408513640000000e-03, 1.172186090000000e+01, 1.093243240000000e+00
1.423621270000000e-03, 8.847608570000000e+00, 1.039378050000000e+00
1.438729000000000e-03, 8.982070920000000e+00, 1.029115080000000e+00
1.453836730000000e-03, 9.133615490000000e+00, 1.016521220000000e+00
1.468944460000000e-03, 9.740650179999999e+00, 1.008498790000000e+00
1.484052180000000e-03, 8.333854680000000e+00, 9.765766259999999e-01
1.499159820000000e-03, 7.990776060000000e+00, 9.692286850000000e-01
1.514267550000000e-03, 8.874256129999999e+00, 9.580601450000000e-01
1.529375280000000e-03, 8.161823269999999e+00, 9.313150640000000e-01
1.544483010000000e-03, 7.327539440000000e+00, 9.161796570000000e-01
1.559590730000000e-03, 7.045522690000000e+00, 8.918005820000000e-01
1.574698460000000e-03, 6.614254000000000e+00, 8.912300470000000e-01
1.589806190000000e-03, 7.459049220000000e+00, 8.861681820000000e-01
1.604913920000000e-03, 6.663568500000000e+00, 8.619573710000000e-01
1.620021460000000e-03, 6.359590530000000e+00, 8.438746330000000e-01
1.635129190000000e-03, 6.796939850000000e+00, 8.449757700000000e-01
1.650236920000000e-03, 6.038127900000000e+00, 8.280768390000000e-01
1.665344650000000e-03, 4.878293990000000e+00, 7.993794080000000e-01
1.680452380000000e-03, 4.525663380000000e+00, 7.923388480000000e-01
1.695560110000000e-03, 5.318647380000000e+00, 7.934232350000000e-01
1.710667830000000e-03, 4.681980130000000e+00, 7.732379440000000e-01
1.725775560000000e-03, 4.883381840000000e+00, 7.660818700000001e-01
1.740883290000000e-03, 4.638902660000000e+00, 7.526364330000000e-01
1.755991020000000e-03, 5.661713600000000e+00, 7.595712540000000e-01
1.771098560000000e-03, 5.436626430000000e+00, 7.510423060000000e-01
1.786206290000000e-03, 4.753452300000000e+00, 7.355359200000000e-01
1.801314020000000e-03, 4.109523770000000e+00, 7.194154260000000e-01
1.816421750000000e-03, 3.974885940000000e+00, 7.110138539999999e-01
1.831529480000000e-03, 3.436388020000000e+00, 6.964390870000000e-01
1.846637200000000e-03, 4.384986880000000e+00, 6.966030600000001e-01
1.861744930000000e-03, 3.919056890000000e+00, 6.883271340000000e-01
1.876852660000000e-03, 2.694410320000000e+00, 6.740264890000000e-01
1.891960390000000e-03, 3.528484340000000e+00, 6.897338629999999e-01
1.907068120000000e-03, 3.697122570000000e+00, 6.878833170000000e-01
1.922175850000000e-03, 3.986198430000000e+00, 6.867828969999999e-01
1.937283390000000e-03, 3.160356520000000e+00, 6.757571100000000e-01
1.967498850000000e-03, 3.764801020000000e+00, 3.905635470000000e-01
2.012822030000000e-03, 2.377775510000000e+00, 3.745140810000000e-01
2.058145220000000e-03, 1.490485190000000e+00, 3.590842690000000e-01
2.103468220000000e-03, 2.085448260000000e+00, 3.489013990000000e-01
2.148791400000000e-03, 1.788978260000000e+00, 3.367938810000000e-01
2.194114590000000e-03, 1.590223630000000e+00, 3.260523090000000e-01
2.239437770000000e-03, 1.718701840000000e+00, 3.203026140000000e-01
2.284760770000000e-03, 1.886938100000000e+00, 3.149958750000000e-01
2.330083960000000e-03, 1.728956070000000e+00, 3.063206330000000e-01
2.375407140000000e-03, 1.439469020000000e+00, 2.981115170000000e-01
2.420730140000000e-03, 1.649124460000000e+00, 2.941364540000000e-01
2.466053330000000e-03, 1.449180280000000e+00, 2.883936630000000e-01
2.511376520000000e-03, 8.793780020000000e-01, 2.792254980000000e-01
2.556699700000000e-03, 9.173399600000000e-01, 2.751139540000000e-01
2.602022700000000e-03, 9.460124980000000e-01, 2.701384290000000e-01
2.662453610000000e-03, 6.804809570000000e-01, 2.040051050000000e-01
2.737992070000000e-03, 5.608404160000000e-01, 1.979380080000000e-01
2.813530710000000e-03, 1.130465220000000e+00, 2.026827800000000e-01
2.889069170000000e-03, 7.026567460000001e-01, 1.988291910000000e-01
2.964607810000000e-03, 5.094248290000000e-01, 1.963928190000000e-01
3.040146270000000e-03, 5.094349379999999e-01, 1.940930920000000e-01
3.115684910000000e-03, 4.918488980000000e-01, 1.928083910000000e-01
3.191223370000000e-03, 4.961560250000000e-01, 1.901317580000000e-01
3.266762200000000e-03, 3.640857700000000e-01, 1.885226420000000e-01
3.342300650000000e-03, 4.719829080000000e-01, 1.851234150000000e-01
3.417839110000000e-03, 5.233479500000000e-01, 1.779954700000000e-01
3.493377570000001e-03, 4.851058480000000e-01, 1.725784710000000e-01
3.568916400000000e-03, 2.865817070000000e-01, 1.679107360000000e-01
3.644454850000000e-03, 4.042330740000000e-01, 1.651943470000000e-01
3.719993310000000e-03, 2.863326550000000e-01, 1.620338120000000e-01
3.795531760000000e-03, 2.798756600000000e-01, 1.593168560000000e-01
3.871070590000001e-03, 3.241323470000000e-01, 1.572707050000000e-01
3.961716590000000e-03, 5.876268640000000e-02, 1.301547950000000e-01
4.067470880000000e-03, 1.670065610000000e-01, 1.276918510000000e-01
4.173224790000000e-03, 1.156177180000000e-01, 1.248735010000000e-01
4.278978710000000e-03, 1.043151110000000e-01, 1.220491530000000e-01
4.384732620000001e-03, 2.349876510000000e-01, 1.199156130000000e-01
4.490486530000000e-03, 1.051968850000000e-01, 1.168271570000000e-01
4.596240450000000e-03, 1.611988380000000e-01, 1.146700460000000e-01
4.701994730000001e-03, 1.787562200000000e-01, 1.125919280000000e-01
4.807748650000001e-03, 6.308761659999999e-02, 1.102832940000000e-01
4.913502560000001e-03, 2.967136240000000e-02, 1.084749280000000e-01
5.019256470000000e-03, 1.391044170000000e-01, 1.091721760000000e-01
5.125010390000000e-03, 4.045782780000000e-02, 1.099126790000000e-01
5.230764300000000e-03, 7.577299210000001e-02, 1.100334850000000e-01
5.351626130000000e-03, 8.816368060000000e-03, 9.648951670000000e-02
5.487595500000000e-03, 8.089525170000000e-02, 9.615718980000000e-02
5.623564870000000e-03, 7.463475059999999e-02, 9.339005330000000e-02
5.759534240000000e-03, 6.782019130000000e-02, 9.045126320000001e-02
5.895503610000000e-03, 5.271475170000000e-02, 8.896162439999999e-02
