q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,TAPBdmpdaStandardLowQ_eiger2_18637_sub.dat_00001_[sub(TAPBdmpdaStandardLowQ_eiger2_18637_ave.h5_00001_[AN_3_30_37_PRM_90C]-TAPBdmpdaStandardLowQ_eiger2_18148_av_ave.h5_00001_[AN_3_30_36_PRM_90C])],1,0.0050)	error
0.00131786736	-7.79687881	0.994027615
0.0013329749900000002	-6.32997704	0.986001492
0.0013480827200000002	-7.31057549	0.948313355
0.0013631904500000002	-5.67564392	0.94458884
0.0013782981800000002	-5.53051758	0.925478876
0.0013934059100000002	-4.77363586	0.912398219
0.0014085136400000002	-3.65939522	0.91218555
0.0014236212700000001	-5.40098	0.868154585
0.0014387290000000001	-4.81637955	0.862338781
0.0014538367300000001	-4.70610237	0.847478211
0.0014689444600000001	-4.12001991	0.836422265
0.00148405218	-4.81694031	0.814238548
0.00149915982	-5.07669258	0.810833395
0.00151426755	-4.11238098	0.797531307
0.00152937528	-3.90383148	0.78012532
0.00154448301	-3.64920044	0.774630904
0.0015595907300000001	-2.22221184	0.780454874
0.0015746984600000001	-5.12992859	0.737785399
0.0015898061900000001	-3.35494518	0.741212428
0.0016049139200000001	-3.87589073	0.721201718
0.00162002146	-3.18224812	0.722194731
0.00163512919	-2.9952898	0.713171124
0.00165023692	-2.67901993	0.711392999
0.00166534465	-3.09018326	0.689428151
0.00168045238	-3.61529732	0.681204677
0.00169556011	-2.60732269	0.687594593
0.00171066783	-3.88571453	0.653524637
0.00172577556	-3.45256901	0.649812579
0.00174088329	-1.45145512	0.672982097
0.00175599102	-2.50259876	0.643931329
0.00177109856	-2.83491516	0.635310411
0.00178620629	-2.30352306	0.636430621
0.00180131402	-2.12110233	0.630628824
0.00181642175	-1.85187721	0.626417994
0.00183152948	-2.59727383	0.60905993
0.0018466372000000002	-2.08113766	0.606307864
0.0018617449300000002	-2.13957977	0.603657961
0.0018768526600000002	-2.16784096	0.602395356
0.0018919603900000002	-2.41062641	0.595921814
0.0019070681200000002	-2.67639065	0.589659452
0.0019221758500000002	-1.84545803	0.600370884
0.00193728339	-1.52042103	0.60551101
0.0019674988500000003	-1.85595417	0.340911101
0.00201282203	-1.36847814	0.339368812
0.00205814522	-1.64202182	0.328675023
0.0021034682200000003	-1.28609689	0.316915723
0.0021487914000000003	-1.04460271	0.30953011
0.0021941145900000003	-1.09280825	0.300640647
0.00223943777	-1.11723455	0.29360909
0.0022847607700000002	-1.31054417	0.28489262
0.0023300839600000002	-1.36061112	0.277213516
0.0023754071400000003	-0.847723483	0.275566087
0.00242073014	-0.941375098	0.269454625
0.00246605333	-0.871940772	0.26530925
0.00251137652	-0.737343789	0.261984922
0.0025566997	-0.852133273	0.256324833
0.0026020227	-0.551141262	0.254328762
0.00266245361	-0.805886936	0.191604275
0.0027379920700000004	-0.535543537	0.188149856
0.00281353071	-0.462683343	0.189605828
0.00288906917	-0.52382555	0.187836864
0.0029646078100000004	-0.675124979	0.185464994
0.0030401462700000003	-0.510558367	0.184659992
0.0031156849100000003	-0.371201372	0.183648706
0.0031912233700000002	-0.365656233	0.181497847
0.0032667622000000004	-0.288266945	0.181320101
0.00334230065	-0.386155129	0.176502801
0.0034178391099999998	-0.405449772	0.169122365
0.0034933775700000005	-0.304757929	0.164542873
0.0035689164000000002	-0.435075426	0.160666234
0.00364445485	-0.297647524	0.158083831
0.00371999331	-0.35859766	0.155394919
0.0037955317600000004	-0.178860664	0.153940247
0.0038710705900000006	-0.207764673	0.151667353
0.00396171659	-0.276112965	0.126057583
0.00406747088	-0.143388884	0.123815743
0.00417322479	-0.238767147	0.120818364
0.00427897871	-0.175478441	0.118368477
0.004384732620000001	-0.0856085845	0.116094849
0.00449048653	-0.102040717	0.113664693
0.00459624045	-0.119112117	0.111202418
0.004701994730000001	-0.0994531427	0.109114152
0.004807748650000001	-0.09182196	0.107512592
0.0049135025600000005	-0.067946715	0.105893502
0.0050192564700000004	-0.0766230141	0.105972334
0.00512501039	-0.0726493682	0.107160013
0.0052307643	-0.0460344725	0.107300187
0.00535162613	-0.01134285	0.0945635179
0.0054875955	-0.0203580194	0.0938765706
