q[nm-1]	I(q)[sr-1]_rebin(no_smoothing,TAPBdmpdaStandardLowQ_eiger2_18592_sub.dat_00001_[sub(TAPBdmpdaStandardLowQ_eiger2_18592_ave.h5_00001_[AN_3_30_36_RXN_90C]-TAPBdmpdaStandardLowQ_eiger2_18148_av_ave.h5_00001_[AN_3_30_36_PRM_90C])],1,0.0050)	error
0.00242073014	27.6764495	0.440519957
0.00246605333	26.7201093	0.430471921
0.00251137652	24.0273692	0.411021174
0.0025566997	22.5521615	0.399209375
0.0026020227	21.7040844	0.388513722
0.00266245361	20.0972683	0.290671956
0.0027379920700000004	18.3753372	0.278229587
0.00281353071	16.6855896	0.273710939
0.00288906917	15.3149178	0.268176333
0.0029646078100000004	14.1690325	0.261214063
0.0030401462700000003	12.1943306	0.25114165
0.0031156849100000003	11.5831387	0.246539775
0.0031912233700000002	10.5490648	0.239774097
0.0032667622000000004	9.97493992	0.235384712
0.00334230065	9.34821968	0.227984443
0.0034178391099999998	8.56067171	0.215114364
0.0034933775700000005	8.19313746	0.207010861
0.0035689164000000002	7.38720989	0.200170711
0.00364445485	6.90552225	0.194051992
